date,province,num_def,new_cases,num_hosp,num_uci
2021-05-01,Albacete,0,0,3,0
2021-05-01,Alicante/Alacant,0,82,1,0
2021-05-01,Almería,2,0,7,2
2021-05-01,Araba/Álava,0,75,6,0
2021-05-01,Asturias,0,79,10,1
2021-05-01,Badajoz,1,39,3,1
2021-05-01,"Balears, Illes",0,0,5,2
2021-05-01,Barcelona,3,0,34,7
2021-05-01,Bizkaia,5,298,30,2
2021-05-01,Burgos,0,67,7,0
2021-05-01,Cantabria,0,0,13,3
2021-05-01,Castellón/Castelló,1,31,1,0
2021-05-01,Ceuta,0,0,0,0
2021-05-01,Ciudad Real,1,0,2,0
2021-05-01,"Coruña, A",0,0,4,2
2021-05-01,Cuenca,0,0,1,0
2021-05-01,Cáceres,0,25,0,0
2021-05-01,Cádiz,2,0,11,3
2021-05-01,Córdoba,0,0,7,0
2021-05-01,Gipuzkoa,3,208,0,0
2021-05-01,Girona,1,0,1,0
2021-05-01,Granada,0,0,23,4
2021-05-01,Guadalajara,0,0,0,0
2021-05-01,Huelva,1,0,7,0
2021-05-01,Huesca,1,22,5,2
2021-05-01,Jaén,1,0,6,1
2021-05-01,León,1,62,3,0
2021-05-01,Lleida,0,0,0,0
2021-05-01,Lugo,0,0,0,0
2021-05-01,Madrid,8,0,115,14
2021-05-01,Melilla,0,0,1,0
2021-05-01,Murcia,0,28,8,1
2021-05-01,Málaga,1,0,14,3
2021-05-01,Navarra,3,0,7,0
2021-05-01,Ourense,0,0,1,2
2021-05-01,Palencia,1,24,1,0
2021-05-01,"Palmas, Las",0,48,4,0
2021-05-01,Pontevedra,0,0,6,0
2021-05-01,"Rioja, La",0,0,3,0
2021-05-01,Salamanca,1,42,2,0
2021-05-01,Santa Cruz de Tenerife,0,80,12,2
2021-05-01,Segovia,1,35,4,0
2021-05-01,Sevilla,2,0,18,3
2021-05-01,Soria,2,9,1,0
2021-05-01,Tarragona,1,0,1,0
2021-05-01,Teruel,0,-2,1,0
2021-05-01,Toledo,4,0,3,0
2021-05-01,Valencia/València,0,66,4,1
2021-05-01,Valladolid,0,57,4,1
2021-05-01,Zamora,0,18,5,1
2021-05-01,Zaragoza,3,180,13,0
2021-05-01,Ávila,0,19,2,0
2021-05-02,Albacete,0,0,2,2
2021-05-02,Alicante/Alacant,0,25,1,0
2021-05-02,Almería,1,0,8,1
2021-05-02,Araba/Álava,0,38,2,0
2021-05-02,Asturias,0,41,7,1
2021-05-02,Badajoz,0,19,1,1
2021-05-02,"Balears, Illes",0,0,3,0
2021-05-02,Barcelona,2,0,39,1
2021-05-02,Bizkaia,1,268,17,4
2021-05-02,Burgos,2,49,2,1
2021-05-02,Cantabria,0,0,10,2
2021-05-02,Castellón/Castelló,0,24,2,1
2021-05-02,Ceuta,0,2,1,1
2021-05-02,Ciudad Real,0,0,1,1
2021-05-02,"Coruña, A",0,0,7,3
2021-05-02,Cuenca,1,0,3,0
2021-05-02,Cáceres,0,20,1,0
2021-05-02,Cádiz,2,0,6,1
2021-05-02,Córdoba,2,0,9,3
2021-05-02,Gipuzkoa,1,191,0,0
2021-05-02,Girona,3,0,2,0
2021-05-02,Granada,2,0,29,3
2021-05-02,Guadalajara,0,0,0,0
2021-05-02,Huelva,0,0,6,1
2021-05-02,Huesca,0,8,1,1
2021-05-02,Jaén,0,0,5,2
2021-05-02,León,0,13,4,1
2021-05-02,Lleida,0,0,0,0
2021-05-02,Lugo,0,0,1,0
2021-05-02,Madrid,12,0,110,16
2021-05-02,Melilla,0,0,2,0
2021-05-02,Murcia,0,13,4,1
2021-05-02,Málaga,1,0,6,2
2021-05-02,Navarra,3,0,8,1
2021-05-02,Ourense,0,0,1,0
2021-05-02,Palencia,0,17,4,1
2021-05-02,"Palmas, Las",0,57,4,1
2021-05-02,Pontevedra,1,0,6,0
2021-05-02,"Rioja, La",0,0,6,3
2021-05-02,Salamanca,0,20,3,2
2021-05-02,Santa Cruz de Tenerife,0,64,1,0
2021-05-02,Segovia,0,19,4,0
2021-05-02,Sevilla,4,0,19,4
2021-05-02,Soria,0,4,0,0
2021-05-02,Tarragona,0,0,0,0
2021-05-02,Teruel,0,1,0,0
2021-05-02,Toledo,1,0,6,1
2021-05-02,Valencia/València,1,65,5,0
2021-05-02,Valladolid,1,30,5,2
2021-05-02,Zamora,0,9,0,0
2021-05-02,Zaragoza,1,149,17,2
2021-05-02,Ávila,0,5,3,2
2021-05-03,Albacete,0,0,1,1
2021-05-03,Alicante/Alacant,1,11,0,0
2021-05-03,Almería,5,0,10,1
2021-05-03,Araba/Álava,0,42,0,0
2021-05-03,Asturias,2,71,11,1
2021-05-03,Badajoz,0,39,3,0
2021-05-03,"Balears, Illes",0,0,4,1
2021-05-03,Barcelona,4,0,44,5
2021-05-03,Bizkaia,5,340,32,3
2021-05-03,Burgos,1,36,10,1
2021-05-03,Cantabria,0,0,18,4
2021-05-03,Castellón/Castelló,0,9,3,1
2021-05-03,Ceuta,3,2,2,2
2021-05-03,Ciudad Real,0,0,4,1
2021-05-03,"Coruña, A",1,0,6,0
2021-05-03,Cuenca,0,0,1,0
2021-05-03,Cáceres,0,29,3,1
2021-05-03,Cádiz,2,0,4,2
2021-05-03,Córdoba,1,0,14,2
2021-05-03,Gipuzkoa,3,341,0,0
2021-05-03,Girona,2,0,5,1
2021-05-03,Granada,2,0,30,5
2021-05-03,Guadalajara,1,0,0,0
2021-05-03,Huelva,2,0,10,0
2021-05-03,Huesca,0,21,0,1
